uid,title,agency,location,bid_type,blurb,legacy_score,label,note
bidnet:2714057612,YELL 326141 YELLOWSTONE MODULAR HOUSING,,Colorado,Federal Bids,YELL 326141 Yellowstone Modular Housing,5,pursue,
bidnet:9637277263,Wild Horse Tiny Home Village Modular Housing,City of Aurora,Colorado,Member Agency Bids,,5,pursue,
bidnet:9505035718,BD2650 Attainable Educator and Staffing Housing,Denver Public Schools,Colorado,Member Agency Bids,,5,pursue,
bidnet:2651395952,PKA Relocatable Facility,,Wyoming,Federal Bids,"The North American Industrial Classification System (NAICS) code for this procurement is 332311, Prefabricated Metal Building and Component Manufacturing, with a small business standard of 750 employees is to be",5,pursue,
bidnet:444086775584,2026 Affordable Rental Housing Project Utilizing Workforce Housing Trust Funds,,New Mexico,State & Local Bids,No additional specifications were given.,4,ignore,
bidnet:2715601892,Emergency Beddown/Shelter System/Readiness Training Equipment (SDVOSB Set Aside),,Wyoming,Federal Bids,This is a combined synopsis/solicitation for the purchase of a complete beddown/shelter system/readiness training equipment for Firm Fixed Price Commodity Purchase as a 100% Service Disabled Veteran Owned Small,4,ignore,
bidnet:2715882392,Prefabricated Pedestrian Bridge,,New Mexico,Federal Bids,Pedestrian Bridge - Rio Bonito Acquired Lands (RBAL) Roswell Field Office (RFO),4,ignore,
bidnet:444129974726,Interim Housing & Supportive Services,County of San Bernardino,California,State & Local Bids,"1. This RFP seeks competitive proposals based on the cost and services provided, however, the funding sources set caps on portions of this RFP. Transitional Rent will be funded via the Medi-Cal Managed",4,ignore,
bidnet:9555564307,Accessory Dwelling Unit (ADU) Stock Plan Update,City of Longmont,Colorado,Member Agency Bids,,4,pursue,
bidnet:444139633294,Site I Elementary School Modulars Inc 2 LLB,Lodi Unified School District,California,State & Local Bids,Construction of new modular classroom buildings and multi-purpose room building. Preconstruction Services: 1.,4,pursue,
bidnet:444128363352,Emergency Shelter Operations,City of Fresno,California,State & Local Bids,"Service coordination should include but not limited to, case management and housing navigation services for interim housing as well as providing access to workforce, education, or other services to promote housing",4,ignore,
